13:43:40 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .search-results
13:43:40 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .search-results was found
13:43:40 INFO  manager.MyListener - Start find 'element' ---> By.xpath: (//img[@alt='logo'])[1]
13:43:40 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: (//img[@alt='logo'])[1] was found
13:43:42 INFO  tests.TestsBase - Name of test: typePeriodInPast
13:43:42 INFO  manager.MyListener - Start find 'element' ---> By.id: city
13:43:42 INFO  manager.MyListener - Element with 'locator' ---> By.id: city was found
13:43:45 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .pac-item
13:43:45 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .pac-item was found
13:43:47 INFO  manager.MyListener - Start find 'element' ---> By.id: dates
13:43:47 INFO  manager.MyListener - Element with 'locator' ---> By.id: dates was found
13:43:48 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .cdk-overlay-container
13:43:48 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .cdk-overlay-container was found
13:43:55 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:43:55 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:43:55 INFO  manager.MyListener - Start find 'element' ---> By.xpath: (//img[@alt='logo'])[1]
13:43:55 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: (//img[@alt='logo'])[1] was found
