14:08:41 INFO  manager.ApplicationManager - All tests start in Chrome Browser
14:08:59 INFO  tests.TestsBase - Name of test: loginSuccessModel
14:08:59 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
14:09:04 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
14:09:04 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
14:09:06 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
14:09:07 INFO  manager.MyListener - Start find 'element' ---> By.id: email
14:09:07 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
14:09:09 INFO  manager.MyListener - Start find 'element' ---> By.id: password
14:09:09 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
14:09:09 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
14:09:09 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
14:09:12 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: h2.message
14:09:12 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: h2.message was found
14:09:12 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()='Ok']
14:09:12 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()='Ok'] was found
14:09:13 INFO  tests.TestsBase - Name of test: registrationSuccess
14:09:13 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
14:09:13 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
14:09:13 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
14:09:13 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
14:09:13 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()=' Sign up ']
14:09:13 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()=' Sign up '] was found
14:09:13 INFO  manager.MyListener - Start find 'element' ---> By.tagName: form
14:09:13 INFO  manager.MyListener - Element with 'locator' ---> By.tagName: form was found
14:09:14 INFO  manager.MyListener - Start find 'element' ---> By.id: name
14:09:14 INFO  manager.MyListener - Element with 'locator' ---> By.id: name was found
14:09:14 INFO  manager.MyListener - Start find 'element' ---> By.id: lastName
14:09:14 INFO  manager.MyListener - Element with 'locator' ---> By.id: lastName was found
14:09:15 INFO  manager.MyListener - Start find 'element' ---> By.id: email
14:09:15 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
14:09:16 INFO  manager.MyListener - Start find 'element' ---> By.id: password
14:09:16 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
